,IP Address,Subnet Mask,CIDR,Prefix_length,Network_Address,Broadcast_Address,Number_of_usable_hosts,Overlapping,Overlapping_Address
0,192.168.1.24,255.255.255.0,192.168.1.24/24,24,192.168.1.0,192.168.1.255,254,False,
1,10.1.5.4,255.255.254.0,10.1.5.4/23,23,10.1.4.0,10.1.5.255,510,False,
2,172.16.20.33,255.255.255.0,172.16.20.33/24,24,172.16.20.0,172.16.20.255,254,False,
3,192.168.100.7,255.255.252.0,192.168.100.7/22,22,192.168.100.0,192.168.103.255,1022,False,
4,10.0.3.112,255.255.255.0,10.0.3.112/24,24,10.0.3.0,10.0.3.255,254,False,
5,172.16.1.200,255.255.254.0,172.16.1.200/23,23,172.16.0.0,172.16.1.255,510,False,
6,10.2.1.56,255.255.252.0,10.2.1.56/22,22,10.2.0.0,10.2.3.255,1022,False,
7,192.168.2.3,255.255.255.0,192.168.2.3/24,24,192.168.2.0,192.168.2.255,254,False,
8,172.16.50.1,255.255.252.0,172.16.50.1/22,22,172.16.48.0,172.16.51.255,1022,False,
9,10.10.0.5,255.255.254.0,10.10.0.5/23,23,10.10.0.0,10.10.1.255,510,False,
10,192.168.3.14,255.255.255.0,192.168.3.14/24,24,192.168.3.0,192.168.3.255,254,False,
11,10.20.4.6,255.255.252.0,10.20.4.6/22,22,10.20.4.0,10.20.7.255,1022,False,
12,172.16.8.9,255.255.254.0,172.16.8.9/23,23,172.16.8.0,172.16.9.255,510,False,
13,10.4.3.2,255.255.255.0,10.4.3.2/24,24,10.4.3.0,10.4.3.255,254,False,
14,192.168.20.44,255.255.252.0,192.168.20.44/22,22,192.168.20.0,192.168.23.255,1022,False,
15,172.16.40.22,255.255.255.0,172.16.40.22/24,24,172.16.40.0,172.16.40.255,254,False,
16,10.0.0.200,255.255.254.0,10.0.0.200/23,23,10.0.0.0,10.0.1.255,510,False,
17,192.168.10.1,255.255.255.0,192.168.10.1/24,24,192.168.10.0,192.168.10.255,254,False,
18,172.16.15.15,255.255.254.0,172.16.15.15/23,23,172.16.14.0,172.16.15.255,510,False,
19,10.3.3.9,255.255.252.0,10.3.3.9/22,22,10.3.0.0,10.3.3.255,1022,False,
20,192.168.4.5,255.255.255.0,192.168.4.5/24,24,192.168.4.0,192.168.4.255,254,False,
21,10.50.2.7,255.255.255.0,10.50.2.7/24,24,10.50.2.0,10.50.2.255,254,False,
22,172.16.60.30,255.255.252.0,172.16.60.30/22,22,172.16.60.0,172.16.63.255,1022,False,
23,192.168.7.8,255.255.254.0,192.168.7.8/23,23,192.168.6.0,192.168.7.255,510,False,
24,10.15.5.50,255.255.252.0,10.15.5.50/22,22,10.15.4.0,10.15.7.255,1022,False,
